SH, 06, 2024011218,   , MIWU,   6,  93S,  940E,  38,  997, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Anggrek,
SH, 06, 2024011300,   , MIWU,   6,  95S,  940E,  45,  994, DB,
SH, 06, 2024011306,   , MIWU,  12,  95S,  942E,  51,  991, DB,
SH, 06, 2024011312,   , MIWU,  18,  95S,  943E,  58,  987, TD,
SH, 06, 2024011318,   , MIWU,  24,  96S,  945E,  67,  982, TD,
SH, 06, 2024011400,   , MIWU,  30,  98S,  946E,  79,  974, TD,
SH, 06, 2024011406,   , MIWU,  36, 101S,  948E,  92,  963, TD,
SH, 06, 2024011412,   , MIWU,  42, 105S,  949E, 103,  952, TS,
SH, 06, 2024011418,   , MIWU,  48, 109S,  950E, 112,  942, TS,
SH, 06, 2024011500,   , MIWU,  54, 111S,  950E,  99,  954, TS,
SH, 06, 2024011506,   , MIWU,  60, 113S,  950E,  71,  974, TS,
SH, 06, 2024011512,   , MIWU,  66, 115S,  950E,  53,  987, TS,
SH, 06, 2024011518,   , MIWU,  72, 118S,  949E,  54,  986, TS,
SH, 06, 2024011600,   , MIWU,  78, 120S,  949E,  57,  985, TS,
SH, 06, 2024011606,   , MIWU,  84, 123S,  948E,  60,  985, TS,
SH, 06, 2024011612,   , MIWU,  90, 126S,  948E,  65,  982, TS,
SH, 06, 2024011618,   , MIWU,  96, 129S,  947E,  68,  980, TS,
SH, 06, 2024011700,   , MIWU, 102, 130S,  947E,  69,  979, TS,
SH, 06, 2024011706,   , MIWU, 108, 131S,  946E,  69,  979, TS,
SH, 06, 2024011712,   , MIWU, 114, 132S,  946E,  69,  979, TS,
SH, 06, 2024011718,   , MIWU, 120, 134S,  945E,  71,  978, TS,
SH, 06, 2024011800,   , MIWU,   6, 111S,  937E,  46,  993, TS,
SH, 06, 2024011806,   , MIWU,   6, 119S,  935E,  46,  993, TS,
SH, 06, 2024011812,   , MIWU,   6, 123S,  934E,  46,  993, TS,
SH, 06, 2024011818,   , MIWU,   6, 124S,  929E,  46,  993, TS,
SH, 06, 2024011900,   , MIWU,   6, 125S,  925E,  50,  991, TS,
SH, 06, 2024011906,   , MIWU,   6, 125S,  926E,  66,  982, TS,
SH, 06, 2024011912,   , MIWU,   6, 126S,  924E,  61,  985, TS,
SH, 06, 2024011918,   , MIWU,   6, 126S,  921E,  62,  984, TS,
SH, 06, 2024012000,   , MIWU,   6, 123S,  925E,  63,  984, TS,
SH, 06, 2024012006,   , MIWU,   6, 123S,  924E,  82,  970, TS,
SH, 06, 2024012012,   , MIWU,   6, 122S,  922E,  80,  971, TS,
SH, 06, 2024012018,   , MIWU,   6, 119S,  923E,  78,  973, TS,
SH, 06, 2024012100,   , MIWU,   6, 119S,  920E,  74,  976, TS,
SH, 06, 2024012106,   , MIWU,   6, 122S,  917E,  73,  977, TS,
SH, 06, 2024012112,   , MIWU,   6, 124S,  915E,  53,  989, TS,
SH, 06, 2024012118,   , MIWU,   6, 127S,  915E,  46,  992, TS,
SH, 06, 2024012200,   , MIWU,   6, 124S,  912E,  43,  994, TS,
SH, 06, 2024012206,   , MIWU,   6, 127S,  913E,  44,  994, TS,
SH, 06, 2024012212,   , MIWU,   6, 128S,  912E,  40,  995, TS,
SH, 06, 2024012218,   , MIWU,   6, 129S,  912E,  39,  995, TS,
SH, 06, 2024012300,   , MIWU,   6, 132S,  915E,  40,  995, TS,
SH, 06, 2024012306,   , MIWU,   6, 135S,  914E,  44,  994, TS,
SH, 06, 2024012312,   , MIWU,   6, 137S,  914E,  56,  988, TS,
SH, 06, 2024012318,   , MIWU,   6, 140S,  911E,  59,  986, TS,
SH, 06, 2024012400,   , MIWU,   6, 143S,  908E,  66,  982, TS,
SH, 06, 2024012406,   , MIWU,   6, 144S,  907E,  75,  977, TY,
SH, 06, 2024012412,   , MIWU,   6, 147S,  905E,  79,  974, TY,
SH, 06, 2024012418,   , MIWU,   6, 151S,  900E,  78,  975, TY,
SH, 06, 2024012500,   , MIWU,   6, 156S,  891E,  80,  974, TY,
SH, 06, 2024012506,   , MIWU,   6, 160S,  881E,  79,  975, TY,
SH, 06, 2024012512,   , MIWU,   6, 166S,  872E,  80,  975, TY,
SH, 06, 2024012518,   , MIWU,   6, 172S,  863E,  76,  977, TY,
SH, 06, 2024012600,   , MIWU,   6, 174S,  852E,  87,  969, TY,
SH, 06, 2024012606,   , MIWU,   6, 179S,  839E,  88,  968, TY,
SH, 06, 2024012612,   , MIWU,   6, 187S,  829E, 100,  958, TY,
SH, 06, 2024012618,   , MIWU,   6, 190S,  818E,  97,  961, TY,
SH, 06, 2024012700,   , MIWU,   6, 194S,  805E, 104,  955, TY,
SH, 06, 2024012706,   , MIWU,  12, 198S,  791E, 112,  948, TY,
SH, 06, 2024012712,   , MIWU,  18, 202S,  776E, 122,  938, TY,
SH, 06, 2024012718,   , MIWU,  24, 207S,  761E, 131,  928, TY,
SH, 06, 2024012800,   , MIWU,  30, 214S,  748E, 137,  923, TY,
SH, 06, 2024012806,   , MIWU,  36, 221S,  735E, 141,  920, TY,
SH, 06, 2024012812,   , MIWU,  42, 230S,  723E, 141,  921, TY,
SH, 06, 2024012818,   , MIWU,  48, 239S,  712E, 133,  927, TY,
SH, 06, 2024012900,   , MIWU,  54, 246S,  711E, 117,  943, TY,
SH, 06, 2024012906,   , MIWU,  60, 253S,  710E,  85,  968, TY,
SH, 06, 2024012912,   , MIWU,  66, 260S,  709E,  77,  975, TY,
SH, 06, 2024012918,   , MIWU,  72, 268S,  712E,  65,  985, TY,
SH, 06, 2024013000,   , MIWU,  78, 280S,  733E,  59,  989, TY,
SH, 06, 2024013006,   , MIWU,  84, 293S,  754E,  59,  990, TY,
SH, 06, 2024013012,   , MIWU,  90, 305S,  775E,  58,  990, TY,
SH, 06, 2024013018,   , MIWU,  96, 318S,  798E,  57,  991, TY,
SH, 06, 2024013100,   , MIWU, 102, 329S,  825E,  57,  992, TS,
SH, 06, 2024013106,   , MIWU, 108, 340S,  853E,  55,  992, EX,
SH, 06, 2024013112,   , MIWU, 114, 351S,  881E,  53,  993, EX,
SH, 06, 2024013118,   , MIWU, 120, 363S,  909E,  52,  993, EX,
