AL, 96, 2025100800,   , BEST,   0, 382N,  358W,  35,  996, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, 96, 2025100806,   , BEST,   0, 400N,  360W,  40,  996, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, 96, 2025100812,   , BEST,   0, 411N,  367W,  45,  996, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, 96, 2025100818,   , BEST,   0, 415N,  366W,  45,  996, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, 96, 2025100900,   , BEST,   0, 419N,  356W,  45,  996, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST, SPAWNINVEST, al752025 to al962025, 
AL, 96, 2025100906,   , BEST,   0, 430N,  349W,  45,  996, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, 96, 2025100912,   , BEST,   0, 434N,  346W,  40,  996, SS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, 96, 2025100918,   , BEST,   0, 440N,  344W,  45,  996, SS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
AL, 11, 2025101000,   , BEST,   0, 444N,  334W,  45,  998, SS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, KAREN, TRANSITIONED, alB62025 to al112025, 
AL, 11, 2025101006,   , BEST,   0, 450N,  326W,  45,  998, SS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, KAREN,
AL, 11, 2025101012,   , BEST,   0, 457N,  316W,  45,  998, SS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, KAREN,
AL, 11, 2025101018,   , BEST,   0, 468N,  306W,  40,  999, SS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, KAREN,
AL, 11, 2025101100,   , BEST,   0, 480N,  296W,  35,  998, SS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, KAREN,
AL, 11, 2025101106,   , BEST,   0, 495N,  286W,  35,  998, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, KAREN,
AL, 11, 2025101112,   , BEST,   0, 513N,  278W,  30,  998, EX,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, KAREN,
Analyzed by 223
